Demand Point Name,State,Pin Code,Masked Latitude,Masked Longitude,Demand - Electronics,Demand - Apparel,Demand - Grocery,Demand - Books
DP1,Jharkhand,826004,23.850506,86.421151,381,292,227,73
DP2,Chhattisgarh,490020,21.209944,81.376226,426,337,78,194
DP3,Rajasthan,302006,26.913268,75.787843,353,200,338,133
DP4,Karnataka,560062,12.886044,77.550149,335,135,358,234
DP5,Uttar Pradesh ,221005,25.263895,82.970918,434,206,56,266
DP6,Punjab,152002,30.944566,74.622973,329,157,62,435
DP7,Maharashtra,400603,19.182293,72.980091,368,179,86,271
DP8,Bihar,812002,25.247992,86.974577,379,285,122,229
DP9,Uttar Pradesh,282007,27.181832,77.997807,355,229,146,317
DP10,Haryana,122002,28.489901,77.094642,438,284,130,249
DP11,Kerala,695023,8.484496,76.943864,440,293,69,227
DP12,Karnataka,570009,12.300114,76.640747,341,397,78,180
DP13,Assam,788004,24.820983,92.794223,354,306,149,154
DP14,West Bengal,700026,22.520069,88.349312,237,279,400,62
DP15,Himachal Pradesh,171002,31.000411,77.000417,339,352,147,188
DP16,Andhra Pradesh,535002,18.101224,83.408194,389,76,300,205
DP17,Haryana,132103,29.399319,76.977379,363,325,112,223
DP18,Tamil Nadu,600042,12.978739,80.214183,367,118,181,294
DP19,Andhra Pradesh,530007,17.745604,83.268912,63,316,443,206
DP20,Maharashtra,411043,18.464578,73.862316,326,211,100,371
DP21,Telengana,500044,17.406677,78.514038,335,239,108,367
DP22,Odisha,765022,19.068520,83.818536,351,276,103,247
DP23,Tamil Nadu,600093,13.003512,80.210929,386,218,56,279
DP24,Madhya Pradesh,482001,23.145566,79.904793,415,227,131,266
DP25,Andhra Pradesh,517502,13.629552,79.425298,403,271,111,182
DP26,Uttar Pradesh,244901,28.777746,79.017244,256,201,95,428
DP27,Uttar Pradesh,221101,26.934343,80.899548,366,308,94,175
DP28,Telangana,500008,17.405410,78.398616,300,403,113,250
DP29,Uttar Pradesh,226013,26.935104,80.898864,450,322,190,61
DP30,Gujarat,395007,23.219854,72.635355,433,167,124,345
DP31,Madhya Pradesh,450001,21.000528,76.000784,324,422,93,212
DP32,Uttar Pradesh,245101,28.733760,77.780401,358,170,128,336
DP33,Tamil Nadu,641007,11.006931,76.913217,178,415,110,302
DP34,Uttar Pradesh,241406,27.626237,80.197875,373,253,62,239
DP35,Haryana,135003,30.146664,77.295331,187,434,77,259
DP36,Uttarakhand,247667,29.878380,77.886026,142,447,302,183
DP37,Rajasthan ,302034,26.926159,75.709752,424,254,237,63
DP38,Telangana,500085,17.482827,78.391091,332,219,50,403
DP39,Gujarat,382165,23.283498,72.324086,440,204,136,305
DP40,Uttar Pradesh,226013,26.936395,80.899922,301,357,83,194
DP41,Delhi,110026,27.205545,77.498622,233,306,121,362
DP42,Bihar,812001,25.247476,87.011284,420,125,166,344
DP43,Andhra Pradesh,530013,17.680055,83.210440,358,328,111,213
DP44,Maharashtra,410210,19.036809,73.076868,410,212,75,294
DP45,HARYANA,122001,28.434017,77.027712,204,134,326,352
DP46,Maharashtra,400042,19.150140,72.948921,435,222,294,142
DP47,Uttar Pradesh,226022,26.889578,80.964825,367,327,134,216
DP48,Rajasthan,335001,29.915294,73.892597,112,331,415,170
DP49,Andhra Pradesh,533016,28.467414,77.034040,319,430,113,198
DP50,West Bengal,712232,22.675109,88.350606,277,231,141,437
DP51,Delhi,110065,28.558526,77.252083,392,150,328,149
DP52,Delhi,110023,28.572889,77.214964,369,305,135,211
DP53,Gujarat,380016,23.055785,72.616330,435,118,196,261
DP54,Delhi,110027,28.641831,77.109502,435,339,92,233
DP55,Delhi,110075,28.596325,77.063777,409,164,54,251
DP56,Tamil Nadu,625014,9.967781,78.134660,381,213,118,333
DP57,Delhi,110075,28.597313,77.062484,78,174,444,307
DP58,Karnataka,560029,12.934322,77.602503,139,200,252,421
DP59,Odisha,768020,21.481075,83.900610,207,386,140,309
DP60,Rajasthan,301019,28.191009,76.813656,225,321,435,112
DP61,Haryana,122001,28.482335,77.087635,132,404,325,191
DP62,Maharashtra,445203,20.000653,75.000029,389,218,138,322
DP63,Maharashtra,400080,19.166499,72.944411,311,73,241,359
DP64,Uttar Pradesh,226013,26.936750,80.900278,352,321,90,216
DP65,Delhi,110058,28.609181,77.107557,409,223,130,293
DP66,New Delhi ,110075,28.000135,77.000999,308,389,238,111
DP67,Delhi,110092,28.633214,77.300536,340,56,162,410
DP68,Telangana,500049,17.473236,78.308671,426,143,210,335
DP69,Andhra Pradesh,533001,16.959181,82.251888,363,284,100,179
DP70,Uttar Pradesh,207001,27.560631,78.658773,77,243,325,381
DP71,Maharashtra,442001,20.742389,78.603520,394,95,236,288
DP72,NEW DELHI,110085,28.699250,77.099534,382,132,165,288
DP73,Delhi,110078,28.594101,77.033644,407,179,71,341
DP74,Himachal Pradesh,173001,30.559990,77.292754,351,236,122,314
DP75,Uttarakhand,248001,30.348840,78.073990,358,265,195,105
DP76,West Bengal,700089,22.484352,88.261012,362,110,161,342
DP77,Uttar Pradesh,226013,26.938818,80.901970,83,423,348,183
DP78,uttar pradesh,226013,26.936083,80.900781,367,300,237,54
DP79,Uttar Pradesh,226013,27.000637,80.000802,69,360,251,172
DP80,Uttar Pradesh,226020,26.891526,80.927463,447,264,153,128
DP81,Telangana,500011,17.464012,78.482295,187,380,314,118
DP82,Telangana,500035,17.381401,78.543609,414,289,248,57
DP83,Uttarakhand,263139,29.187841,79.520272,447,337,109,215
DP84,Uttar Pradesh,201014,28.637967,77.367930,306,131,154,435
DP85,CHHATTISGARH,492015,21.250056,81.630226,410,189,126,346
DP86,Maharashtra,431005,19.865895,75.368882,426,334,107,189
DP87,Uttar Pradesh,201310,28.449868,77.510990,180,331,83,386
DP88,Uttar Pradesh,250001,28.985104,77.706629,312,95,249,375
DP89,Delhi,110017,28.525195,77.206958,212,264,359,70
DP90,Uttar Pradesh,226013,26.935982,80.893803,248,123,327,384
DP91,New Delhi,110084,28.739826,77.194305,359,281,54,235
DP92,Rajasthan,305404,25.975451,75.153741,435,183,145,312
DP93,Uttar Pradesh,273001,27.000430,83.000694,426,239,68,273
DP94,Maharashtra,422215,20.331884,73.894940,223,263,118,428
DP95,BIHAR,854318,26.304580,87.263206,301,122,191,380
DP96,Punjab,141001,30.912999,75.806646,371,256,64,157
DP97,Maharashtra,431136,19.901185,75.352921,394,272,215,62
DP98,Karnataka,587201,15.551200,75.404800,385,284,107,218
DP99,Madhya Pradesh,474011,26.218484,78.183068,272,377,242,55
DP100,Delhi,110018,28.635421,77.102813,152,148,328,366
DP101,Maharashtra,400601,19.209477,72.972290,401,292,177,95
