,WH1,WH2,WH3
0,1149.4387,1506.3945,1812.8787
1,1135.6356,740.5714,1053.5539
2,280.6763,1437.9304,1111.7494
3,2093.277,546.0031,982.8924
4,748.4993,1258.3682,1512.212
5,460.5086,1989.5367,1615.1388
6,1379.5021,716.0162,18.3013
7,1199.186,1726.5849,1983.3987
8,194.3439,1357.4681,1249.8455
9,36.9435,1560.886,1355.1371
10,2818.3175,1271.0435,1572.5009
11,2211.8148,700.762,1025.5575
12,2060.7926,2155.2583,2576.4841
13,1426.849,1494.2361,1915.4619
14,334.5675,1906.9493,1683.5939
15,1622.6181,681.7277,1347.8732
16,113.2372,1685.619,1462.2636
17,2145.0894,650.6806,1234.3373
18,1675.7337,637.4227,1303.5682
19,1456.9065,572.7965,135.9211
20,1515.1666,40.1214,688.8331
21,1520.4098,861.6557,1433.6554
22,2143.2588,648.85,1230.9541
23,774.536,807.6822,1078.6379
24,2067.4724,520.1985,1098.7781
25,185.9598,1591.2664,1551.2425
26,463.373,1350.3442,1393.7281
27,1522.7979,37.957,675.6216
28,463.4041,1350.3752,1393.7591
29,916.0559,1146.1205,540.5901
30,1111.7894,612.0874,462.9399
31,57.4662,1548.2179,1486.9651
32,2422.309,875.0351,1254.3476
33,397.9815,1407.16,1450.5439
34,244.4413,1759.0569,1576.3442
35,181.1146,1692.1255,1570.8433
36,289.6828,1437.8639,1111.6498
37,1516.8074,45.4887,671.2301
38,942.9198,1182.7651,574.9073
39,463.2937,1350.2649,1393.6487
40,179.9814,1392.6251,1253.9493
41,1206.8299,1734.2288,1991.0426
42,1689.3544,627.2427,1293.3882
43,1407.3508,689.5251,10.164
44,45.5863,1549.1218,1345.2106
45,1385.9693,715.0252,17.0328
46,463.56,1342.7841,1386.168
47,443.9717,1910.598,1452.3775
48,43.2255,1552.2125,1351.0679
49,1406.2154,1493.5236,1914.7495
50,14.1902,1550.2449,1378.2221
51,17.5939,1556.7111,1373.3272
52,925.5911,1125.2429,519.7125
53,33.8164,1568.5998,1374.0477
54,35.0513,1571.106,1366.2957
55,2530.4991,983.2252,1400.5369
56,34.9474,1571.0021,1366.1452
57,2086.1382,538.8642,977.0322
58,1385.142,994.5224,1347.2108
59,84.9318,1552.2665,1311.1016
60,31.475,1556.666,1356.3387
61,1240.8336,596.7508,298.2244
62,1383.0717,721.4842,17.4554
63,463.2415,1350.2127,1393.5966
64,30.2177,1566.3086,1371.1838
65,98.9935,1515.0703,1321.8977
66,14.3964,1560.7706,1385.4699
67,1524.0938,47.4431,664.2554
68,1788.5996,490.4737,1156.6192
69,201.3094,1443.2382,1335.3092
70,1099.6385,489.8806,718.0179
71,36.8679,1574.0048,1398.1913
72,38.6185,1574.6732,1365.2574
73,275.6078,1847.9896,1624.6342
74,275.7803,1833.4422,1625.3981
75,1435.7327,1503.1198,1924.3456
76,463.3243,1350.2955,1393.6794
77,463.14,1350.1111,1393.495
78,356.4394,1333.091,1376.4748
79,460.9082,1341.7098,1385.0936
80,1505.9043,45.6377,680.5111
81,1524.9945,42.7076,703.6286
82,258.9734,1610.86,1654.2439
83,15.4126,1564.5059,1392.9907
84,1128.7487,792.8806,1082.7671
85,1262.4412,547.4565,335.333
86,23.3577,1538.4604,1429.3937
87,71.8949,1578.717,1498.8645
88,17.7974,1550.1449,1372.0319
89,463.974,1350.9451,1394.329
90,31.853,1570.6189,1410.7004
91,412.1643,1312.2125,972.5188
92,706.214,1435.0446,1578.489
93,1241.417,739.8728,216.0901
94,1202.8732,1771.1295,2029.1994
95,342.1741,1914.5559,1615.0177
96,1262.9939,550.7932,335.8857
97,1798.1026,417.7661,611.8453
98,315.9095,1224.3761,1190.9267
99,32.957,1569.0479,1372.4686
100,1376.76,716.2287,19.3116
